marka,model,cins,renk,numaralar,IMG_url,SKU,url,ozelliker,aciklama,eski_fiyat,yeni_fiyat
adidas,adidas NMD_R1 W PK,"
                                    ACHTUNG: Frauengrößen","['adidas NMD_R1 W PK GREY THREE F17/GREY THREE F17/FTWR WHITE', 'adidas NMD_R1 W PK SHOPIN/CBLACK/FTWWHT']",['42'],https://kickz.akamaized.net/de/media/images/p/600/adidas-NMD_R1_W_PK-GREY_THREE_F17_GREY_THREE_F17_FTWR_WHITE-1.jpg,BY8762,https://www.kickz.com/de/adidas-sneakers-low-nmd-r1-w-pk-grey_three_f17_grey_three_f17_ftwr_white-124994002," Textile,Synthetic Textile Textile Rubber","

Der Low-Top „Superstar“ entstand aus dem „Supergrip“ und war der erste Basketball Sneaker, der komplett aus echtem Leder gefertigt wurde. Dadurch, und durch die Zehenkappen aus Gummi (daher der Spitzname „shell toes“), waren die Schuhe widerstandsfähiger und dank des in die Sohlen integrierten Herringbone (Fischgräten)-Systems sehr rutschfest. Ab Mitte der 70er spielten gut 75 Prozent der NBA-Spieler in „Superstars“ und in 1976 unterschrieb niemand geringerer als Kareem Abdul-Jabbar einen Vertrag mit Adidas. Abdul-Jabbar, seines Zeichens NBA All-time Leader für erzielte Punkte, machte damit die Marke Adidas und die „Superstars“ genau so berühmt wie seinen Signature Move – den „sky hook“. Von da an bis Mitte der 80er war die Firma mit den drei Streifen das Nonplusultra in der NBA, es hieß – all adidas everything!","
                179,95 €","143,99"
nike,nike WMNS MAYFLY WOVEN,"
                                    ACHTUNG: Frauengrößen","['nike WMNS MAYFLY WOVEN RED STARDUST/RED STARDUST-GUM MED BROWN', 'nike WMNS MAYFLY WOVEN VACHETTA TAN/ARCTIC PINK-ELM-SAIL', 'nike WMNS MAYFLY WOVEN SAIL/PALE GREY-ELM-SAIL', 'nike WMNS MAYFLY WOVEN SAIL/SAIL-RED STARDUST-ORCHID MIST']","['36 1/2', '37 1/2', '38', '38 1/2', '39', '40', '40 1/2', '41']",https://kickz.akamaized.net/de/media/images/p/600/nike-WMNS_MAYFLY_WOVEN-SAIL_SAIL_RED_STARDUST_ORCHID_MIST-1.jpg,833802-101,https://www.kickz.com/de/nike-sneakers-low-wmns-mayfly-woven-sail_sail_red_stardust_orchid_mist-128056004, synthetik/textil,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                119,95 €","83,99"
adidas,adidas NMD_R1 PK,"
                                    ACHTUNG: Männergrößen","['adidas NMD_R1 PK FTWR WHITE/FTWR WHITE/CORE BLACK', 'adidas NMD_R1 PK CORE BLACK/CORE BLACK/FTWR WHITE']","['40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48 2/3', '49 1/3']",https://kickz.akamaized.net/de/media/images/p/600/adidas-NMD_R1_PK-CORE_BLACK_CORE_BLACK_FTWR_WHITE-1.jpg,BY3013,https://www.kickz.com/de/adidas-sneakers-low-nmd-r1-pk-core_black_core_black_ftwr_white-122326005," Textile,Synthetic Textile Synthetic Rubber","

Der Low-Top „Superstar“ entstand aus dem „Supergrip“ und war der erste Basketball Sneaker, der komplett aus echtem Leder gefertigt wurde. Dadurch, und durch die Zehenkappen aus Gummi (daher der Spitzname „shell toes“), waren die Schuhe widerstandsfähiger und dank des in die Sohlen integrierten Herringbone (Fischgräten)-Systems sehr rutschfest. Ab Mitte der 70er spielten gut 75 Prozent der NBA-Spieler in „Superstars“ und in 1976 unterschrieb niemand geringerer als Kareem Abdul-Jabbar einen Vertrag mit Adidas. Abdul-Jabbar, seines Zeichens NBA All-time Leader für erzielte Punkte, machte damit die Marke Adidas und die „Superstars“ genau so berühmt wie seinen Signature Move – den „sky hook“. Von da an bis Mitte der 80er war die Firma mit den drei Streifen das Nonplusultra in der NBA, es hieß – all adidas everything!","
                179,95 €","125,99"
nike,nike WMNS NIKE AIR FOOTSCAPE WOVEN,"
                                    ACHTUNG: Frauengrößen","['nike WMNS NIKE AIR FOOTSCAPE WOVEN RED STARDUST/SILT RED-SAIL-GUM MED BROWN', 'nike WMNS NIKE AIR FOOTSCAPE WOVEN BLACK/BLACK-REFLECT SILVER-WOLF GREY', 'nike WMNS NIKE AIR FOOTSCAPE WOVEN MUSHROOM/MUSHROOM-MUSHROOM-SAIL', 'nike WMNS NIKE AIR FOOTSCAPE WOVEN SAIL/WHITE-RED STARDUST-ORCHID MIST']","['38 1/2', '39', '40', '40 1/2']",https://kickz.akamaized.net/de/media/images/p/600/WMNS_NIKE_AIR_FOOTSCAPE_WOVEN-SAIL_WHITE_RED_STARDUST_ORCHID_MIST-1.jpg,917698-100,https://www.kickz.com/de/nike-sneakers-low-wmns-nike-air-footscape-woven-sail_white_red_stardust_orchid_mist-129794007, synthetik/textil,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                159,95 €","111,99"
jordan,JORDAN FORMULA 23 LOW,"
                                    ACHTUNG: Männergrößen","['JORDAN FORMULA 23 LOW BLACK/BLACK-WHITE', 'JORDAN FORMULA 23 LOW PURE PLATINUM/PURE PLATINUM-WHITE', 'JORDAN FORMULA 23 LOW GYM RED/GYM RED-PURE PLATINUM-BLACK', 'JORDAN FORMULA 23 LOW BLACK/BLACK-BLACK', 'JORDAN FORMULA 23 LOW DARK STUCCO/DARK STUCCO-SAIL', 'JORDAN FORMULA 23 LOW COOL GREY/COOL GREY-WHITE-BLACK']","['40', '40 1/2', '41', '42', '42 1/2', '43', '44', '44 1/2', '45', '45 1/2', '46', '47', '47 1/2', '48 1/2']",https://kickz.akamaized.net/de/media/images/p/600/JORDAN_FORMULA_23_LOW-BLACK_BLACK_WHITE-1.jpg,919724-011,https://www.kickz.com/de/jordan-sneakers-low-jordan-formula-23-low-black_black_white-129673003, leder/synthetik,"
In Jordans Rookie-Saison erkannte die Basketballwelt schnell, mit wem sie es  zu tun hat. Er war nicht nur ein faszinierender Spieler, sein sympathisches Lächeln und charismatische Persönlichkeit zog die Menschen in seinen Bann - er war der perfekte Werbeträger. Das wusste auch Nike. Die Marke brauchte einen Kick-Starter und fand in Jordan einen Raketenantrieb.","
                119,95 €","83,99"
jordan,JORDAN FLIGHT LUXE,"
                                    ACHTUNG: Männergrößen","['JORDAN FLIGHT LUXE BLACK/GYM RED-GYM RED', 'JORDAN FLIGHT LUXE BLACK/ANTHRACITE-BLACK', 'JORDAN FLIGHT LUXE ANTHRACITE/BLACK-WHITE', 'JORDAN FLIGHT LUXE COOL GREY/WOLF GREY-COOL GREY', 'JORDAN FLIGHT LUXE BLACK/WHITE-BLACK']","['40', '40 1/2', '41', '42', '42 1/2', '43', '44', '44 1/2', '45', '46', '47', '47 1/2', '48 1/2']",https://kickz.akamaized.net/de/media/images/p/600/JORDAN_FLIGHT_LUXE-BLACK_WHITE_BLACK-1.jpg,919715-010,https://www.kickz.com/de/jordan-sneakers-low-jordan-flight-luxe-black_white_black-129667005, synthetik/textil,"
In Jordans Rookie-Saison erkannte die Basketballwelt schnell, mit wem sie es  zu tun hat. Er war nicht nur ein faszinierender Spieler, sein sympathisches Lächeln und charismatische Persönlichkeit zog die Menschen in seinen Bann - er war der perfekte Werbeträger. Das wusste auch Nike. Die Marke brauchte einen Kick-Starter und fand in Jordan einen Raketenantrieb.","
                129,95 €","90,99"
nike,nike AIR MAX LD-ZERO,"
                                    ACHTUNG: Männergrößen","['nike AIR MAX LD-ZERO COASTAL BLUE/COASTAL BLUE-BLUE MOON', 'nike AIR MAX LD-ZERO LIGHT BONE/LIGHT BONE-LIGHT BONE', 'nike AIR MAX LD-ZERO PURE PLATINUM/PURE PLATINUM-COOL GREY', 'nike AIR MAX LD-ZERO BLACK/BLACK-DARK GREY']","['40', '40 1/2', '41', '42', '42 1/2', '44', '44 1/2', '45', '45 1/2', '46', '47', '47 1/2']",https://kickz.akamaized.net/de/media/images/p/600/nike-AIR_MAX_LD_ZERO-COASTAL_BLUE_COASTAL_BLUE_BLUE_MOON-1.jpg,848624-400,https://www.kickz.com/de/nike-sneakers-low-air-max-ld-zero-coastal_blue_coastal_blue_blue_moon-127174003, synthetik/textil,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                179,95 €","125,99"
jordan,JORDAN IMPACT TR,"
                                    ACHTUNG: Männergrößen","['JORDAN IMPACT TR BLACK/BLACK-BLACK', 'JORDAN IMPACT TR BLACK/GYM RED-WOLF GREY']","['41', '42', '42 1/2', '43', '44', '44 1/2']",https://kickz.akamaized.net/de/media/images/p/600/JORDAN_IMPACT_TR-BLACK_GYM_RED_WOLF_GREY-1.jpg,854289-027,https://www.kickz.com/de/jordan-sneakers-low-jordan-impact-tr-black_gym_red_wolf_grey-123608006, textil/synthetik,"
In Jordans Rookie-Saison erkannte die Basketballwelt schnell, mit wem sie es  zu tun hat. Er war nicht nur ein faszinierender Spieler, sein sympathisches Lächeln und charismatische Persönlichkeit zog die Menschen in seinen Bann - er war der perfekte Werbeträger. Das wusste auch Nike. Die Marke brauchte einen Kick-Starter und fand in Jordan einen Raketenantrieb.","
                99,95 €","69,99"
adidas,adidas NMD_R1 PK,"
                                    ACHTUNG: Männergrößen","['adidas NMD_R1 PK FTWR WHITE/FTWR WHITE/CORE BLACK', 'adidas NMD_R1 PK CORE BLACK/CORE BLACK/FTWR WHITE']","['40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48 2/3', '49 1/3']",https://kickz.akamaized.net/de/media/images/p/600/adidas-NMD_R1_PK-FTWR_WHITE_FTWR_WHITE_CORE_BLACK-1.jpg,BZ0219,https://www.kickz.com/de/adidas-sneakers-low-nmd-r1-pk-ftwr_white_ftwr_white_core_black-122326007," Textile,Synthetic Textile Synthetic Rubber","

Der Low-Top „Superstar“ entstand aus dem „Supergrip“ und war der erste Basketball Sneaker, der komplett aus echtem Leder gefertigt wurde. Dadurch, und durch die Zehenkappen aus Gummi (daher der Spitzname „shell toes“), waren die Schuhe widerstandsfähiger und dank des in die Sohlen integrierten Herringbone (Fischgräten)-Systems sehr rutschfest. Ab Mitte der 70er spielten gut 75 Prozent der NBA-Spieler in „Superstars“ und in 1976 unterschrieb niemand geringerer als Kareem Abdul-Jabbar einen Vertrag mit Adidas. Abdul-Jabbar, seines Zeichens NBA All-time Leader für erzielte Punkte, machte damit die Marke Adidas und die „Superstars“ genau so berühmt wie seinen Signature Move – den „sky hook“. Von da an bis Mitte der 80er war die Firma mit den drei Streifen das Nonplusultra in der NBA, es hieß – all adidas everything!","
                179,95 €","125,99"
nike,nike WMNS NIKE AIR MAX THEA PRM LEA,"
                                    ACHTUNG: Frauengrößen","['nike WMNS NIKE AIR MAX THEA PRM LEA DARK STUCCO/DARK STUCCO-SAIL', 'nike WMNS NIKE AIR MAX THEA PRM LEA MTLC PLATINUM/PURE PLATINUM-SAIL', 'nike WMNS NIKE AIR MAX THEA PRM LEA TAUPE GREY/TAUPE GREY-SAIL']","['36', '36 1/2', '38', '38 1/2']",https://kickz.akamaized.net/de/media/images/p/600/WMNS_NIKE_AIR_MAX_THEA_PRM_LEA-DARK_STUCCO_DARK_STUCCO_SAIL-1.jpg,904500-003,https://www.kickz.com/de/nike-sneakers-low-wmns-nike-air-max-thea-prm-lea-dark_stucco_dark_stucco_sail-131578001, textil/synthetik,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                129,95 €","90,99"
nike,nike SF AF1 MID,"
                                    ACHTUNG: Männergrößen","['nike SF AF1 MID TEAM ORANGE/TEAM ORANGE-TEAM ORANGE', 'nike SF AF1 MID OBSIDIAN/OBSIDIAN-BLACK', 'nike SF AF1 MID DESERT MOSS/DESERT MOSS-GUM MED BROWN', 'nike SF AF1 MID BLACK/BLACK-BLACK', 'nike SF AF1 MID IVORY/IVORY-MARS STONE', 'nike SF AF1 MID MUSHROOM/MUSHROOM-LIGHT BONE', 'nike SF AF1 MID LASER ORANGE/LASER ORANGE-GUM MED BROWN', 'nike SF AF1 MID DARK GREY/DARK GREY-LIGHT BONE', 'nike SF AF1 MID IVORY/IVORY-NEUTRAL OLIVE', 'nike SF AF1 MID BLACK/BLACK-GUM LIGHT BROWN', 'nike SF AF1 MID BLACK/BLACK-DARK HAZEL']","['40', '41', '44 1/2', '45', '45 1/2', '46', '47 1/2']",https://kickz.akamaized.net/de/media/images/p/600/nike-SF_AF1_MID-IVORY_IVORY_NEUTRAL_OLIVE-1.jpg,917753-101,https://www.kickz.com/de/nike-basketball-retro-sf-af1-mid-ivory_ivory_neutral_olive-129758003, leder/synthetik,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                149,95 €","104,99"
nike,nike AIR MAX VISION,"
                                    ACHTUNG: Männergrößen","['nike AIR MAX VISION BLACK/BLACK-SEQUOIA', 'nike AIR MAX VISION MIDNIGHT NAVY/MIDNIGHT NAVY-WHITE']",['40 1/2'],https://kickz.akamaized.net/de/media/images/p/600/nike-AIR_MAX_VISION-BLACK_BLACK_SEQUOIA-1.jpg,918230-002,https://www.kickz.com/de/nike-sneakers-low-air-max-vision-black_black_sequoia-129636001, leder/synthetik,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                119,95 €","83,99"
nike,nike AIR VRTX LTR,"
                                    ACHTUNG: Männergrößen","['nike AIR VRTX LTR MUSHROOM/MUSHROOM-LT OREWOOD BRN', 'nike AIR VRTX LTR PORT/PORT-SAIL-BLACK', 'nike AIR VRTX LTR ICED JADE/ICED JADE-LT OREWOOD BRN']","['40', '40 1/2', '41', '42', '42 1/2', '43', '44', '44 1/2', '45', '45 1/2', '46']",https://kickz.akamaized.net/de/media/images/p/600/nike-AIR_VRTX_LTR-ICED_JADE_ICED_JADE_LT_OREWOOD_BRN-1.jpg,918206-300,https://www.kickz.com/de/nike-sneakers-low-air-vrtx-ltr-iced_jade_iced_jade_lt_orewood_brn-129640005, leder/synthetik,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                89,95 €","62,99"
jordan,JORDAN FORMULA 23 LOW BG,"
                                    ACHTUNG: Kindergrößen","['JORDAN FORMULA 23 LOW BG BLACK/BLACK-BLACK', 'JORDAN FORMULA 23 LOW BG BLACK/BLACK-WHITE', 'JORDAN FORMULA 23 LOW BG COOL GREY/COOL GREY-WHITE-BLACK', 'JORDAN FORMULA 23 LOW BG BLACK/BLACK', 'JORDAN FORMULA 23 LOW BG GYM RED/GYM RED-PURE PLATINUM-BLACK']","['35+', '36', '36+', '37+', '38', '38+', '39', '40']",https://kickz.akamaized.net/de/media/images/p/600/JORDAN_FORMULA_23_LOW_BG-BLACK_BLACK_WHITE-1.jpg,919725-011,https://www.kickz.com/de/jordan-sneakers-low-jordan-formula-23-low-bg-black_black_white-129674004, synthetik/textil,"
In Jordans Rookie-Saison erkannte die Basketballwelt schnell, mit wem sie es  zu tun hat. Er war nicht nur ein faszinierender Spieler, sein sympathisches Lächeln und charismatische Persönlichkeit zog die Menschen in seinen Bann - er war der perfekte Werbeträger. Das wusste auch Nike. Die Marke brauchte einen Kick-Starter und fand in Jordan einen Raketenantrieb.","
                94,95 €","66,99"
nike,nike WMNS AIR MAX PLUS,"
                                    ACHTUNG: Frauengrößen",['nike WMNS AIR MAX PLUS TAUPE GREY/BORDEAUX-SILT RED'],['36'],https://kickz.akamaized.net/de/media/images/p/600/nike-WMNS_AIR_MAX_PLUS-TAUPE_GREY_BORDEAUX_SILT_RED-1.jpg,605112-200,https://www.kickz.com/de/nike-sneakers-low-wmns-air-max-plus-taupe_grey_bordeaux_silt_red-129791003, leder/synthetik,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                159,95 €","111,99"
nike,nike AIR MAX MORE,"
                                    ACHTUNG: Männergrößen","['nike AIR MAX MORE COOL GREY/BLACK-COOL GREY', 'nike AIR MAX MORE BLACK/BLACK-BLACK']",['40'],https://kickz.akamaized.net/de/media/images/p/600/nike-AIR_MAX_MORE-BLACK_BLACK_BLACK-1.jpg,898013-002,https://www.kickz.com/de/nike-sneakers-low-air-max-more-black_black_black-127308002, leder/synthetik,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                179,95 €","125,99"
reebok,reebok CL LTHR L WOMENS,"
                                    ACHTUNG: Frauengrößen","['reebok CL LTHR L WOMENS GRIT-LILAC GLOW/SLEEK MET', 'reebok CL LTHR L WOMENS GRIT-PEACH TWIST/SLEEK MET']","['37', '37 1/2', '38 1/2', '40 1/2']",https://kickz.akamaized.net/de/media/images/p/600/reebok-CL_LTHR_L_WOMENS-GRIT_LILAC_GLOW_SLEEK_MET-1.jpg,BS7913,https://www.kickz.com/de/reebok-sneakers-low-cl-lthr-l-womens-grit_lilac_glow_sleek_met-128688001, LEATHER LOW ATHLETIC," ist eines der ältesten Unternehmen der Sportartikelindustrie und steht bis heute für ständig neue Innovationen. 1895 wurde die Firma als Familienbetrieb J.W.  Fosters and sons in Großbritannien gegründet. Vor allem mit der Entwicklung von Laufschuhen war das Unternehmen damals erfolgreich. 1958 benannten zwei Enkel von Foster die Firma in Reebok um. Weltweit beliebt wurde Reebok jedoch erst 1982, als der Frauen-Aerobic-Schuh ","
                89,95 €","62,99"
nike,nike DUEL RACER,"
                                    ACHTUNG: Männergrößen",['nike DUEL RACER WHITE/BLACK-PURE PLATINUM'],"['40', '40 1/2', '41', '42', '42 1/2', '43', '44', '44 1/2', '45', '45 1/2', '46', '47', '47 1/2']",https://kickz.akamaized.net/de/media/images/p/600/nike-DUEL_RACER-WHITE_BLACK_PURE_PLATINUM-1.jpg,918228-102,https://www.kickz.com/de/nike-sneakers-low-duel-racer-white_black_pure_platinum-129648001, leder/synthetik,"
Der 1973 erschienene Nike „Blazer“ war der erste Basketballschuh der Firma. Obwohl der Schuh für seine Zeit sehr funktionell war, und von der NBA Scoring-Maschine George „Iceman“ Gervin getragen wurde, kam Nike zunächst nicht gegen die Vormacht anderer Sportartikelhersteller an. Auch die folgenden Modelle der frühen 80er, wie der jetzt legendäre „Air Force 1“ und „Dunk“, brachten nicht den erwarteten Durchbruch. Bis sich Michael Jordan 1984/85 dafür entschied, mit Nike die NBA und die Welt der Basketballschuhe zu erobern. Während Nike mit dem „Blazer“ also nur freundlich an den Eingang der Basketballschuhwelt klopften, rissen sie dank des Erfolgs von „His Airness“ und seines „Air Jordan 1“ die ganze Tür aus den Angeln. 

","
                124,95 €","87,99"
reebok,reebok CL LTHR L WOMENS,"
                                    ACHTUNG: Frauengrößen","['reebok CL LTHR L WOMENS GRIT-LILAC GLOW/SLEEK MET', 'reebok CL LTHR L WOMENS GRIT-PEACH TWIST/SLEEK MET']","['36', '37', '37 1/2', '38', '38 1/2', '39', '40', '40 1/2']",https://kickz.akamaized.net/de/media/images/p/600/reebok-CL_LTHR_L_WOMENS-GRIT_PEACH_TWIST_SLEEK_MET-1.jpg,BS7912,https://www.kickz.com/de/reebok-sneakers-low-cl-lthr-l-womens-grit_peach_twist_sleek_met-128688003, LEATHER LOW ATHLETIC," ist eines der ältesten Unternehmen der Sportartikelindustrie und steht bis heute für ständig neue Innovationen. 1895 wurde die Firma als Familienbetrieb J.W.  Fosters and sons in Großbritannien gegründet. Vor allem mit der Entwicklung von Laufschuhen war das Unternehmen damals erfolgreich. 1958 benannten zwei Enkel von Foster die Firma in Reebok um. Weltweit beliebt wurde Reebok jedoch erst 1982, als der Frauen-Aerobic-Schuh ","
                89,95 €","62,99"
adidas,adidas CLIMACOOL 02/17,"
                                    ACHTUNG: Männergrößen","['adidas CLIMACOOL 02/17 CORE BLACK/CORE BLACK/FTWR WHITE', 'adidas CLIMACOOL 02/17 CORE BLACK/UTILITY BLACK F16/FTWR WHITE', 'adidas CLIMACOOL 02/17 NIGHT CARGO F15/TRACE OLIVE F17/FTWR WHITE', 'adidas CLIMACOOL 02/17 GREY FOUR F17/GREY FIVE F17/FTWR WHITE']","['42 2/3', '44', '44 2/3', '46', '46 2/3']",https://kickz.akamaized.net/de/media/images/p/600/adidas-CLIMACOOL_02_17-CORE_BLACK_CORE_BLACK_FTWR_WHITE-1.jpg,BZ0249,https://www.kickz.com/de/adidas-sneakers-low-climacool-02-17-core_black_core_black_ftwr_white-130042001," Textile,Synthetic Textile Textile Rubber","

Der Low-Top „Superstar“ entstand aus dem „Supergrip“ und war der erste Basketball Sneaker, der komplett aus echtem Leder gefertigt wurde. Dadurch, und durch die Zehenkappen aus Gummi (daher der Spitzname „shell toes“), waren die Schuhe widerstandsfähiger und dank des in die Sohlen integrierten Herringbone (Fischgräten)-Systems sehr rutschfest. Ab Mitte der 70er spielten gut 75 Prozent der NBA-Spieler in „Superstars“ und in 1976 unterschrieb niemand geringerer als Kareem Abdul-Jabbar einen Vertrag mit Adidas. Abdul-Jabbar, seines Zeichens NBA All-time Leader für erzielte Punkte, machte damit die Marke Adidas und die „Superstars“ genau so berühmt wie seinen Signature Move – den „sky hook“. Von da an bis Mitte der 80er war die Firma mit den drei Streifen das Nonplusultra in der NBA, es hieß – all adidas everything!","
                99,95 €","69,99"
